ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;1u;C8,C9;CAP-D4.0žF1.5;2;;;;;
2;Header-Male-2.54_1x4;H1,H8,H9;HDR-TH_4P-P2.54-V;3;210S-1*4P L=11.6MMGold-plated black;Ckmtw;LCSC;C124378;0.029
3;Header-Male-2.54_1x3;H2,H3,H4,H5,H6;HDR-TH_3P-P2.54-V;5;Header2.54mm 1*3P;BOOMELE;LCSC;C49257;0.014
4;100uH;L1;IND-TH_BD8.0-P3.00-D0.6;1;VLU0608-101K;FH;LCSC;C72629;0.068
5;GBD-C150KRKT-DZ;I.01;LED1206-RD;1;GBD-C150KRKT-DZ;GBG;LCSC;C712085;0.025
6;LM2576T-005G;U1;TO-220-5L_L10.2-W4.5-P1.71-L;1;LM2576T-005G;ON;LCSC;C70355;2.357
7;bmp180;U3;HDR1X4;1;;;;;
8;0k;A0H,A1H;R0603;2;;;;;
9;100u;C4,C5,C6;CAP-D5.0žF2.0;3;;;;;
10;TTGO LoRa32 V2.1 _ 1.6;U4;TTGO ESP32-PAXCOUNTER LORA32 V2.1;1;LoRa32V2.1;;;;
11;0.1u;C7,C1,C2,C3;C0603;4;;;;;
12;PCB-6P4C-90;RJ3,RJ4;RJ11-TH_PCB-6P4C-90;2;PCB-6P4C-90;Shenzhen Cankemeng;LCSC;C189749;0.118
13;10k;R6;R0603;1;;;;;
14;CONN-TH_2P-P5.00;P3,P1;CONN-TH_2P-P5.00;2;;;LCSC;;
15;1N5822;D1;DO-201AD_BD5.3-L8.4-P12.50-D1.4-FD;1;1N5822;MDD;LCSC;C2476;0.092
16;Female header1*2P;P2;HDR-TH_2P-P2.00-V;1;Female header1*2P;BOOMELE;LCSC;C66509;0.05
17;100k;R4,R5;R0603;2;;;;;
18;PCF8583P;U2;DIP8;1;;;;;
19;4k7;R1,R2,R3;R0603;3;;;;;
